Petition,URL,State,Signatures Count
"Allow Registered Paramedics, Midwives and Nurses to use Green Beacons",https://petition.parliament.uk/petitions/549969,open,43
Increase unemployment benefits to match furlough scheme backdated to March 2020 ,https://petition.parliament.uk/petitions/564261,open,17
Deport all foreign and dual nationals convicted of any crime in the UK,https://petition.parliament.uk/petitions/574896,open,18
Make MHRA Yellow Card reporting mandatory for all medical professionals,https://petition.parliament.uk/petitions/575496,open,2094
Legalise tandem mobility scooters in the UK,https://petition.parliament.uk/petitions/577506,open,22
Ban the use of animals by the police,https://petition.parliament.uk/petitions/580955,open,59
Amend PCSC Bill to withdraw power to seize vehicles used as mobile homes,https://petition.parliament.uk/petitions/583903,open,53979
Treat people with pre-settled status as habitually resident for Universal Credit,https://petition.parliament.uk/petitions/584164,open,16
Amend how absences from the UK are calculated for the purpose of settled status,https://petition.parliament.uk/petitions/584166,open,33
"Introduce new requirements for cyclists/e-scooters: visible ID, licences, etc",https://petition.parliament.uk/petitions/585474,open,9218
Include information on all MPs' additional incomes in Parliamentary broadcasts.,https://petition.parliament.uk/petitions/585936,open,5854
Give people living in poverty protected status under the Equality Act 2014,https://petition.parliament.uk/petitions/586350,open,22
Introduction of a National Database of DNA of all Citizens from birth upward.,https://petition.parliament.uk/petitions/586452,open,18
Make Calorie Labelled Menus An Optional choice,https://petition.parliament.uk/petitions/586495,open,70
Require the BBC Board to be elected by public vote rather than by appointment,https://petition.parliament.uk/petitions/586639,open,54
Fund the NHS to provide free diastasis recti surgery (abdominoplasty) ,https://petition.parliament.uk/petitions/586777,open,30
Add fresh fruit and vegetables to the allergen labelling rules ,https://petition.parliament.uk/petitions/586803,open,130
Do not send a government delegation to the Beijing 2022 Olympics,https://petition.parliament.uk/petitions/586821,open,43
Do not mandate COVID-19 vaccinations for British soldiers under 25. ,https://petition.parliament.uk/petitions/586831,open,1404
Provide funding to make ambulances accessible to electric wheelchairs,https://petition.parliament.uk/petitions/586837,open,16
Fund testing for ovarian cancer every 3 years,https://petition.parliament.uk/petitions/586861,open,56
Government funding for the Air Ambulances,https://petition.parliament.uk/petitions/586866,open,28
"Fund free travel to school, college, university, etc. for all students",https://petition.parliament.uk/petitions/586903,open,21
"Publish criteria for allocating countries to red, amber and green lists",https://petition.parliament.uk/petitions/587003,open,236
Make Psychology/Wellbeing classes a part of the national curriculum for all ages,https://petition.parliament.uk/petitions/587044,open,27
Allow 'Paper Abortions' so fathers can opt out of parenthood during pregnancy,https://petition.parliament.uk/petitions/587080,open,29
Enact a requirement for heirs to the Succession to adhere to a statutory Code.,https://petition.parliament.uk/petitions/587095,open,251
Amend domestic abuse laws to protect people from being forced into a career,https://petition.parliament.uk/petitions/587113,open,15
"Tax Peat, Don't Ban It. ",https://petition.parliament.uk/petitions/587120,open,20
Ban protests outside and around schools and playgrounds in England,https://petition.parliament.uk/petitions/587149,open,55
Extend the NHS £5000 grant to medicine and dentistry students,https://petition.parliament.uk/petitions/587158,open,23
Issue NHS Staff Long Service Medals for 20yrs service the same as the Ambulance,https://petition.parliament.uk/petitions/587162,open,20
Let airlines allow pets in the airplane’s cabin to and from the UK,https://petition.parliament.uk/petitions/587165,open,13322
Enforce a Racist Offenders Register similar to the Sex Offenders Register,https://petition.parliament.uk/petitions/587175,open,183
Hold a full and independent inquiry into the cladding and fire safety scandal,https://petition.parliament.uk/petitions/587185,open,11487
Review and fund newborn screening tests for cytomegalovirus (CMV),https://petition.parliament.uk/petitions/587186,open,6574
Negotiate a pathway for British citizens and residents to return to China,https://petition.parliament.uk/petitions/587190,open,708
Prioritise people eligible for free flu vaccines for any Covid booster vaccine,https://petition.parliament.uk/petitions/587194,open,1409
Inquiry into the role of institutional discrimination in the Grenfell Tower fire,https://petition.parliament.uk/petitions/587207,open,485
Allow bereaved children to succeed tenancy of council-owned properties,https://petition.parliament.uk/petitions/587208,open,767
Hold a binding referendum on the future of the TV licence.,https://petition.parliament.uk/petitions/587212,open,15889
Require schools to make every Friday a half day.,https://petition.parliament.uk/petitions/587218,open,11
Extend Employment Tribinal limitation period for disability dscrimination. ,https://petition.parliament.uk/petitions/587255,open,40
Lower the age of Bowel Cancer screening to 30,https://petition.parliament.uk/petitions/587257,open,139
No amendments to GCSE's should be made for the current Year 9's and Year 10's,https://petition.parliament.uk/petitions/587267,open,10
Allow the choice of online/phone Universal Credit appointments,https://petition.parliament.uk/petitions/587281,open,16
For deaf people to be given a reduced TV Licence Fee,https://petition.parliament.uk/petitions/587282,open,34
Exempt disabled people from hotel quarantine once they return from holiday.,https://petition.parliament.uk/petitions/587300,open,17
"Make ""Flying Ant Day"" an official Bank Holiday in the UK.",https://petition.parliament.uk/petitions/587302,open,20
Fund treatment for Plagiocephaly And Brachycephaly.,https://petition.parliament.uk/petitions/587335,open,245
Start the independent inquiry on UK Government decisions during Covid pandemic.,https://petition.parliament.uk/petitions/587338,open,161
Ban the sale and use of single use cups,https://petition.parliament.uk/petitions/587340,open,37
Ban the sale of plastic toys with children’s magazines,https://petition.parliament.uk/petitions/587358,open,50
Make marriage voidable if a husband hasn’t disclosed existing pregnancy or child,https://petition.parliament.uk/petitions/587364,open,118
Require all school staff receive training on SEN children,https://petition.parliament.uk/petitions/587365,open,19782
Add Hospitality to the Occupation Shortage List.,https://petition.parliament.uk/petitions/587370,open,52
Withdraw from the European Court of Human Rights.,https://petition.parliament.uk/petitions/587376,open,2213
Change the current outdated law on Bereavement Damages,https://petition.parliament.uk/petitions/587377,open,214
Reform the VDPA 1979 to improve support for those harmed by covid-19 vaccines,https://petition.parliament.uk/petitions/587380,open,18632
Add Bulgaria to the green list,https://petition.parliament.uk/petitions/587383,open,7760
Release the provisional grades for GCSEs and A-Levels in England in June,https://petition.parliament.uk/petitions/587384,open,15
Banning of Fipronil and Imidacloprid in flea treatments for dogs,https://petition.parliament.uk/petitions/587385,open,164
Make law/part of MOT - high viz vests + first aid kit in a Vehicle in the U.K.,https://petition.parliament.uk/petitions/587394,open,10
Revoke IR35 regulations for people working in the construction industry,https://petition.parliament.uk/petitions/587397,open,24
Reform how pension income is deducted from Universal Credit,https://petition.parliament.uk/petitions/587418,open,64
Ensure that everyone can get an appointment with their GP within five days,https://petition.parliament.uk/petitions/587428,open,137
"Start a full public inquiry into COVID by July 2021, to report within 12 months",https://petition.parliament.uk/petitions/587431,open,101
